K,density_A,density_B,seed,config,cycle,macs,ops,avg_util,max_util,spad_load_hits,spad_load_misses,spad_stores,avg_b_elements_on_switch,avg_pes_waiting_spad,avg_pes_fifo_blocked_stall,avg_pes_fifo_empty_stall,avg_sw_idle_b_row_conflict,avg_sw_idle_no_b_element,avg_sw_idle_not_in_range,avg_sw_move_stall_by_fifo,avg_sw_move_stall_by_network,a_nnz,b_nnz,c_nnz
1024,0.004,0.001,43,segfold-dtonly,734,4468,,0.074746,0.125,1,1981,4464,6.087193,4.843324,0.0,234.074932,0.0,227.90327,0.527248,0.0,0.234332,4145,70080,4460
1024,0.004,0.001,44,segfold-dtonly,724,4268,,0.072169,0.113281,2,1881,4266,5.895028,4.453039,0.0,233.98895,0.0,226.910221,0.541436,0.0,0.191989,4210,64768,4259
1024,0.004,0.002,42,segfold-dtonly,1025,8052,,0.110541,0.1875,16,4137,8045,7.85561,12.320976,0.0,224.954146,0.0,218.767805,0.943415,0.0,0.523902,4078,130752,8015
1024,0.004,0.002,43,segfold-dtonly,1090,8440,,0.110525,0.191406,12,4394,8429,7.743119,12.584404,0.0,225.122018,0.0,218.581651,1.120183,0.0,0.721101,4145,132736,8407
1024,0.004,0.002,44,segfold-dtonly,1060,8412,,0.111715,0.207031,13,4406,8402,7.935849,12.524528,0.0,224.50283,0.0,219.59717,1.031132,0.0,0.567925,4210,130112,8370
1024,0.004,0.004,42,segfold-dtonly,1762,16432,,0.173624,0.320312,61,9393,16395,9.325766,27.709989,0.0,209.518161,0.0,210.083428,0.972758,0.0,1.362089,5990,264832,16302
1024,0.004,0.004,43,segfold-dtonly,1893,17378,,0.172622,0.304688,81,9933,17333,9.180137,27.64131,0.0,209.915478,0.0,213.014263,0.923402,0.0,1.002113,6867,271744,17216
1024,0.004,0.004,44,segfold-dtonly,1939,17319,,0.163331,0.320312,71,9891,17276,8.931924,25.495101,0.0,212.206808,0.0,212.904074,1.041774,0.0,1.171738,7134,267904,17164
1024,0.004,0.008,42,segfold-dtonly,3389,32631,,0.19565,0.34375,418,18047,32485,9.628504,33.127471,0.0,204.704928,0.0,209.597816,1.076129,0.0,1.671585,10016,528960,32094
1024,0.004,0.008,43,segfold-dtonly,3554,34255,,0.200683,0.375,491,19067,34133,9.638436,34.53067,0.0,203.61677,0.0,210.217783,1.04305,0.002251,1.773776,10895,540608,33693
1024,0.004,0.008,44,segfold-dtonly,3611,34404,,0.196888,0.359375,496,19175,34272,9.527555,33.604265,0.0,204.462476,0.0,210.53614,1.131543,0.0,1.730546,11100,533376,33853
1024,0.004,0.016,42,segfold-dtonly,6923,66432,,0.210035,0.382812,1979,35228,65962,9.59584,37.093168,0.0,201.639318,0.0,209.098368,1.040589,0.066012,2.591795,18144,1070272,64366
1024,0.004,0.016,43,segfold-dtonly,7149,68511,,0.216022,0.390625,2157,36583,67995,9.583298,38.731151,0.0,200.125332,0.0,209.903343,1.048258,0.122674,2.558819,19035,1080000,66306
1024,0.004,0.016,44,segfold-dtonly,7084,68543,,0.215858,0.386719,2207,36726,68024,9.675748,38.475861,0.0,200.091615,0.0,208.97939,1.115471,0.084133,2.233907,19405,1063360,66297
